x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,f1,f2,f3
3,0,0,2,4,3,0,2,2,2,1,2,0,4,1,2,2,4,3,0,798.6411003236246,15.0,135.31578947368422
2,0,2,0,0,0,0,3,0,2,1,2,0,4,1,2,3,0,3,0,798.4815533980583,11.0,12.27027027027027
3,0,0,2,3,2,0,4,1,4,0,4,3,4,1,2,2,4,3,0,798.1970873786407,15.0,1028.8
4,3,3,2,3,0,0,3,0,2,1,2,0,4,1,2,2,0,3,0,798.6909385113269,14.0,142.83333333333334
4,4,3,0,0,2,1,1,0,4,0,4,3,4,1,4,3,4,3,2,796.5588996763754,16.0,27.532608695652176
4,4,2,0,4,4,4,1,0,4,0,4,3,4,1,4,3,4,3,2,795.9867313915857,17.0,75.36764705882354
4,3,3,2,3,0,0,3,1,4,0,4,3,4,1,4,3,4,3,2,802.4343042071198,17.0,1287.5
3,4,3,0,0,2,0,3,0,2,1,2,0,4,1,2,2,0,3,0,796.9145631067961,13.0,37.64705882352941
2,0,2,0,0,0,0,3,0,2,1,2,0,4,1,4,3,0,1,0,798.4815533980583,11.0,12.845758354755784
3,4,3,0,4,4,4,3,1,0,2,4,3,4,1,4,3,4,3,0,800.1462783171521,17.0,5150.0
4,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,3,0,3,0,798.5307443365696,12.0,32.14465408805032
3,4,2,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,4,803.7928802588997,14.0,396.61538461538464
3,4,3,0,0,2,0,3,0,2,1,2,3,4,1,4,3,4,3,0,794.9818770226537,15.0,271.2631578947368
3,4,2,0,0,0,0,3,0,2,1,4,3,4,1,4,3,4,3,4,802.7637540453075,15.0,5157.0
3,4,3,0,0,0,0,3,0,2,1,2,0,4,1,4,3,0,1,0,798.5307443365696,12.0,34.7891156462585
3,0,0,2,3,2,4,4,1,4,0,4,3,4,1,4,3,4,3,2,797.9498381877023,17.0,1029.4
3,4,2,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,0,797.6278317152104,13.0,65.0506329113924
3,4,3,0,4,4,4,3,1,0,2,4,3,4,1,4,3,4,3,4,798.4867313915857,18.0,5152.0
3,0,2,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,4,804.9255663430421,13.0,396.46153846153845
0,4,2,0,0,0,0,3,0,2,1,2,0,4,1,4,3,0,1,0,800.9954692556635,11.0,18.0
3,4,3,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,4,803.7928802588997,14.0,396.61538461538464
3,0,0,2,3,2,0,4,1,4,0,2,0,4,1,4,3,0,1,0,799.4019417475728,13.0,67.63157894736842
3,4,2,3,0,2,1,4,4,4,4,2,3,4,0,1,1,4,4,1,797.5362459546925,18.0,31.339506172839503
1,4,3,0,1,0,3,3,0,2,1,2,0,4,1,2,2,0,1,1,798.7853674328262,15.0,10.563169164882227
2,0,4,4,3,0,4,4,1,4,0,2,2,2,1,2,2,0,1,0,799.9074134023956,15.0,27.236559139784948
3,4,2,3,0,2,1,1,0,2,0,0,2,1,3,3,4,1,2,1,797.5783171521035,16.0,10.314465408805033
1,4,3,0,1,0,3,1,0,1,3,4,3,4,1,4,3,4,3,2,797.6024603431531,17.0,16.012779552715656
1,4,3,0,1,0,0,1,2,0,2,4,3,1,0,3,1,1,1,0,800.2152103559871,14.0,3.8179508890770535
2,0,4,4,3,0,4,4,0,1,4,4,1,3,0,3,2,4,4,1,798.5335059889932,16.0,40.67460317460318
3,4,3,0,0,2,0,3,0,2,1,2,3,4,1,4,3,4,3,4,799.8511326860842,16.0,5157.0
3,0,0,2,3,2,4,4,1,4,0,4,3,4,1,4,3,4,3,0,799.6106796116505,16.0,1029.0
3,0,2,0,0,0,0,3,0,2,1,2,3,4,1,4,3,4,3,4,803.895145631068,14.0,5155.0
0,0,0,2,3,2,0,4,1,4,0,4,3,4,1,2,2,4,3,0,802.4653721682848,14.0,190.5185185185185
3,4,3,0,4,4,4,4,1,4,0,4,3,4,1,4,3,4,3,4,797.1860841423949,18.0,572.2222222222222
3,0,0,2,3,2,4,4,1,4,0,4,3,4,1,4,3,4,3,4,797.9498381877023,17.0,1029.4
3,4,2,0,0,0,0,3,0,2,1,2,3,4,1,4,3,4,3,0,796.5980582524272,14.0,76.71641791044776
3,4,3,0,0,0,0,3,0,2,1,2,3,4,1,4,3,4,3,4,802.7637540453075,15.0,5157.0
3,4,3,0,0,2,0,3,0,2,1,2,0,4,1,4,3,0,1,0,796.9145631067961,13.0,74.55072463768116
3,4,3,0,0,2,0,3,0,2,1,2,0,4,1,4,3,4,3,4,800.8815533980583,15.0,396.61538461538464
3,4,3,0,0,2,0,3,0,2,1,2,3,4,1,4,3,0,1,0,795.884142394822,14.0,90.26315789473684
3,4,3,0,3,2,4,4,1,4,0,4,3,4,1,4,3,4,3,2,797.1860841423949,18.0,572.2222222222222
3,0,2,0,0,2,0,3,0,2,1,2,3,4,1,4,3,4,3,0,796.1139158576052,14.0,271.1578947368421
0,0,0,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,4,808.3705501618123,11.0,32.97402597402598
3,4,0,2,3,2,4,4,1,4,0,4,3,4,1,4,3,4,3,4,797.3122977346278,18.0,1029.6
3,0,2,0,0,0,0,3,0,2,1,2,0,4,1,4,3,0,1,0,798.4815533980583,11.0,21.012396694214875
3,0,0,2,3,2,4,3,0,2,1,2,3,4,1,4,3,4,3,4,796.1647249190938,17.0,1029.6
3,0,0,2,3,2,4,4,0,2,1,2,0,4,1,4,3,4,3,4,797.1951456310679,16.0,468.0
3,4,2,0,0,0,0,3,0,2,1,2,3,4,1,4,3,4,3,4,802.7637540453075,15.0,5157.0
3,0,2,0,0,0,0,3,0,2,1,2,3,4,1,4,3,0,1,0,797.4517799352751,12.0,22.11304347826087
3,4,3,0,0,2,0,3,0,2,1,2,0,4,1,4,3,0,1,4,801.7838187702265,14.0,271.5263157894737
3,0,0,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,4,804.8540453074434,12.0,286.22222222222223
3,0,0,2,3,2,0,3,0,2,1,2,3,4,1,4,3,4,3,0,796.4113268608414,15.0,643.125
3,4,0,0,0,0,0,3,0,2,1,2,3,4,1,4,3,4,3,4,802.6961165048543,14.0,859.3333333333334
3,4,3,0,4,4,4,3,1,0,2,2,3,4,1,4,3,4,3,4,798.4867313915857,18.0,5152.0
3,0,0,2,3,2,4,3,0,2,2,4,3,4,1,4,3,4,3,4,796.1647249190938,17.0,1029.6
3,4,0,2,3,2,0,3,0,2,1,2,3,4,1,4,3,4,3,0,795.773786407767,16.0,643.25
3,4,3,0,0,2,4,3,1,0,2,4,3,4,1,4,3,4,3,4,799.0595469255663,17.0,5154.0
3,4,0,0,0,0,0,3,0,2,1,2,3,4,1,4,3,4,3,0,796.531715210356,13.0,71.375
3,0,0,0,0,0,0,3,0,2,1,2,3,4,1,4,3,0,1,0,797.0624595469255,11.0,16.287096774193547
3,0,0,0,0,0,0,3,0,2,1,2,3,4,1,4,3,4,3,4,803.8242718446602,13.0,858.8333333333334
2,0,4,4,3,0,4,4,1,4,4,4,1,3,0,3,2,4,4,1,797.9300744577533,17.0,54.56382978723404
2,0,4,4,3,0,4,4,1,4,0,4,3,4,1,4,3,4,3,2,798.2716089349304,17.0,114.24444444444444
1,4,3,0,0,2,1,1,0,2,0,0,2,1,3,3,4,1,2,1,797.4595469255663,15.0,6.0050632911392405
2,0,2,0,3,0,4,2,3,2,1,2,0,4,1,2,2,0,1,1,798.7384266752995,15.0,23.35944700460829
1,4,3,0,1,0,3,1,0,1,3,4,3,4,1,2,2,0,1,0,797.819682745225,15.0,9.378585086042063
0,0,0,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,0,802.205501618123,10.0,23.0
3,0,2,0,0,0,4,3,1,0,2,4,3,4,1,4,3,4,3,4,800.277436063451,15.0,515.3
3,4,0,0,0,2,0,3,0,2,1,2,3,4,1,4,3,4,3,0,794.9148867313916,14.0,214.7083333333333
0,0,0,0,0,0,0,3,0,2,2,4,3,4,1,4,3,4,3,4,807.3401294498382,12.0,1031.2
3,0,0,0,0,0,0,3,0,2,1,4,3,4,1,4,3,4,3,4,803.8242718446602,13.0,858.8333333333334
3,4,2,0,0,0,0,3,0,2,2,4,3,4,1,4,3,4,3,4,802.7637540453075,15.0,5157.0
3,0,0,0,0,0,0,3,0,2,1,2,0,4,1,4,3,0,1,0,798.0915857605178,10.0,15.677018633540373
3,0,0,0,0,0,0,3,0,2,1,2,0,4,1,4,3,4,3,0,798.6883495145631,11.0,61.13095238095238
3,0,0,0,0,0,0,3,0,2,1,2,3,4,1,4,3,4,3,0,797.6592233009709,12.0,71.33333333333333
3,0,2,0,0,0,0,3,0,2,2,4,3,4,1,4,3,4,3,4,803.895145631068,14.0,5155.0
3,4,3,0,0,2,0,3,0,2,1,4,3,4,1,4,3,4,3,4,799.8511326860842,16.0,5157.0
3,4,0,0,0,2,0,3,0,2,1,2,3,4,1,4,3,4,3,4,799.784142394822,15.0,859.3333333333334
3,4,0,0,0,0,0,3,0,2,1,2,3,4,1,4,3,0,1,0,797.4339805825243,12.0,30.416666666666668
0,0,0,0,1,0,0,3,0,2,2,4,3,4,1,4,3,4,3,4,806.495145631068,13.0,1031.4
0,0,0,0,0,0,0,3,0,2,2,4,3,4,1,4,3,4,3,0,801.1750809061489,11.0,72.36619718309859
3,4,2,0,0,0,0,3,0,2,2,4,3,4,1,4,3,0,1,0,797.5009708737864,13.0,37.888888888888886
3,0,2,0,0,0,0,3,0,2,2,4,4,4,1,4,3,4,3,4,803.895145631068,14.0,5155.0
3,4,3,0,0,2,0,3,0,2,1,4,3,4,1,3,3,4,4,4,799.8511326860842,16.0,5157.0
3,4,2,0,0,0,0,3,0,2,2,4,4,4,1,4,3,4,3,4,802.7637540453075,15.0,5157.0
3,4,0,0,0,2,0,3,0,2,1,2,3,4,1,4,3,0,1,0,795.8171521035599,13.0,57.11111111111112
3,4,3,0,4,4,4,3,0,0,2,4,3,4,1,4,3,4,3,4,797.2873786407768,17.0,5151.0
3,0,0,2,4,3,0,2,2,0,0,2,3,2,3,1,2,0,2,4,804.2155339805826,14.0,14.703812316715542
4,0,0,2,4,3,0,2,2,0,3,4,3,4,1,2,2,4,3,4,803.6909385113269,16.0,514.9
1,4,3,0,0,2,1,1,0,4,0,4,3,4,1,4,3,4,3,2,796.5588996763754,16.0,12.174447174447174
4,3,3,2,0,2,1,1,0,2,0,0,2,2,1,3,4,4,3,4,797.5783171521035,16.0,23.928909952606634
3,4,3,0,4,4,0,3,0,2,1,2,3,4,1,4,3,4,3,0,795.7220064724919,16.0,1716.3333333333333
3,4,3,0,0,0,0,3,0,2,2,4,4,4,1,4,3,4,3,4,802.7637540453075,15.0,5157.0
3,4,3,0,0,2,0,3,0,2,1,4,3,4,1,3,3,4,3,4,799.8511326860842,16.0,5157.0
0,0,0,0,0,0,0,3,0,0,2,4,3,4,1,4,3,4,3,4,811.2741100323625,11.0,107.20833333333331
3,0,2,0,0,4,4,3,0,0,2,4,3,4,1,4,3,4,3,4,798.7533980582524,15.0,515.2
3,0,0,0,1,0,0,3,0,2,2,4,3,4,1,4,3,4,3,4,802.9786407766991,14.0,858.8333333333334
0,0,0,0,0,2,0,3,0,2,1,2,3,4,1,4,3,4,3,0,799.5588996763754,12.0,41.16935483870968
0,0,0,0,0,0,0,3,0,0,2,4,3,4,1,4,3,4,3,0,803.8064724919094,10.0,25.01477832512316
0,0,0,0,1,0,0,3,0,2,2,4,3,4,1,4,3,4,3,0,801.4760517799352,12.0,67.46052631578948
3,0,0,0,0,2,0,3,0,2,1,2,3,4,1,4,3,0,1,0,795.4449838187702,12.0,22.714285714285715
3,0,2,0,1,0,0,3,0,2,2,4,3,4,1,4,3,4,3,4,803.0501618122977,15.0,5155.0
3,4,3,0,4,4,0,3,0,2,1,2,3,4,1,4,3,0,1,0,795.8747572815533,15.0,572.0
3,4,3,0,4,4,4,3,0,0,2,4,3,4,1,4,3,4,3,0,798.946925566343,16.0,5149.0
3,4,0,0,0,0,0,3,0,0,2,4,3,4,1,4,3,4,3,4,806.4006472491909,13.0,736.4285714285714
3,4,3,0,4,4,4,3,0,0,2,4,3,4,1,4,3,0,1,0,799.1,15.0,735.4285714285714
3,4,3,0,0,0,0,3,0,2,1,2,3,4,1,4,3,0,1,0,797.5009708737864,13.0,37.888888888888886
0,4,3,0,4,4,4,3,0,0,2,4,3,4,1,4,3,0,1,0,801.5631067961165,14.0,858.1666666666666
0,0,0,0,0,0,0,3,0,0,2,4,3,4,1,4,3,4,1,0,803.8064724919094,10.0,25.01477832512316
3,4,3,0,4,0,0,3,0,0,2,4,3,4,1,4,3,4,1,0,799.8139158576051,14.0,2572.5
3,4,3,0,4,4,0,3,0,0,2,4,3,4,1,4,3,4,1,0,798.163430420712,15.0,5146.0
3,4,3,0,0,2,0,3,0,2,1,4,3,4,1,3,3,4,3,0,794.9818770226537,15.0,271.2631578947368
3,4,2,3,0,2,1,1,0,1,4,4,1,3,0,3,2,0,2,4,797.2038834951456,16.0,14.343839541547275
2,0,4,4,3,0,4,4,2,4,0,2,2,2,1,2,2,0,1,0,799.9074134023956,15.0,27.236559139784948
3,4,3,0,0,2,0,3,0,0,2,4,3,4,1,4,3,4,3,4,803.5556634304207,15.0,5155.0
3,4,3,0,4,2,0,3,0,2,1,2,3,4,1,4,3,4,3,0,795.7220064724919,16.0,1716.3333333333333
0,4,4,4,3,0,4,4,1,4,0,2,2,2,1,2,2,0,1,0,801.6409841372613,15.0,142.58333333333334
0,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,2,0,3,4,807.1598705501618,12.0,23.19178082191781
0,3,0,2,4,3,0,2,2,0,3,4,3,4,1,2,2,4,3,4,806.2239482200647,16.0,858.6666666666666
0,4,2,0,0,0,0,3,0,2,1,2,0,4,1,2,2,4,3,4,805.9291262135922,13.0,30.236686390532544
4,3,3,2,3,0,4,4,1,4,0,2,2,2,4,4,0,3,2,0,799.7847199741017,16.0,73.25714285714285
0,0,0,2,1,2,2,4,1,4,0,4,1,3,3,4,2,4,3,4,802.2171521035599,16.0,61.07142857142857
2,0,0,2,3,2,3,3,4,1,4,1,1,1,0,1,2,1,1,4,797.5333333333333,17.0,8.054545454545455
4,2,4,4,1,3,3,4,2,4,2,2,3,1,3,3,4,1,3,2,796.7941747572816,20.0,19.191570881226053
3,4,4,2,3,3,2,4,4,3,3,1,2,1,4,2,3,2,2,4,796.7941747572816,20.0,22.85909090909091
4,4,4,4,4,3,2,1,3,4,2,4,0,2,0,1,0,0,4,0,800.031715210356,15.0,14.49421965317919
3,1,4,4,3,3,4,2,1,2,2,2,4,3,0,4,1,0,2,0,798.7760517799353,17.0,128.2
1,1,1,0,3,1,4,0,1,1,3,0,2,0,4,1,4,4,2,2,802.3188734218194,16.0,6.222513089005235
3,2,4,0,1,0,3,3,1,0,4,0,1,0,0,0,1,1,0,1,801.8779540304306,12.0,6.95355587808418
0,4,3,3,2,4,3,1,1,3,3,4,0,4,4,0,3,4,4,1,799.1019417475728,17.0,85.38333333333334
0,3,2,0,4,0,4,2,2,2,2,0,3,0,0,2,1,0,3,0,803.7364842991259,12.0,10.271008403361344
3,3,3,1,4,4,0,0,2,0,2,2,0,1,3,1,0,4,2,3,807.7258012301716,15.0,7.387345679012346
3,1,2,3,0,2,0,0,0,4,2,3,1,0,0,4,3,0,3,2,808.5053415344772,13.0,7.326283987915408
2,3,1,2,2,3,4,3,3,3,2,3,1,1,3,4,2,4,3,0,798.4537216828479,19.0,19.264367816091955
2,0,1,4,3,0,2,4,1,4,2,1,1,3,1,3,2,4,1,3,797.7607640012949,18.0,39.045801526717554
4,1,3,3,0,2,3,4,3,1,0,0,3,1,4,4,3,1,0,3,798.9003236245954,16.0,15.25
0,0,0,0,2,2,1,1,1,4,0,3,4,0,1,1,0,0,2,0,805.7747572815534,11.0,4.896551724137931
2,4,1,0,4,1,2,0,0,4,2,3,1,0,0,4,3,0,3,2,800.718679184202,14.0,26.453125
2,0,0,2,3,2,3,3,4,1,4,1,1,1,0,1,1,0,0,0,799.2912621359224,14.0,7.7451923076923075
4,4,0,0,2,1,4,1,3,0,0,0,1,2,3,1,2,0,4,0,801.7187702265372,13.0,7.531152647975078
3,4,4,2,3,3,2,4,4,3,3,1,2,1,4,4,3,1,0,3,796.9521035598706,19.0,16.46864686468647
0,0,0,0,2,2,3,3,1,0,4,0,4,0,0,4,0,0,2,0,811.0058252427184,9.0,7.219076005961252
3,1,4,4,3,3,4,3,1,2,2,2,4,3,4,0,3,4,4,1,795.8987055016181,19.0,5148.0
0,0,0,0,2,0,3,3,1,0,4,0,1,0,0,0,1,1,0,0,808.5144059566203,8.0,3.992077464788733
4,1,0,2,3,2,3,2,1,2,2,2,4,3,0,4,3,4,4,1,796.8964401294498,18.0,1715.6666666666667
4,2,4,4,1,3,3,4,2,3,3,2,4,3,0,0,3,4,4,0,797.7281553398059,17.0,5144.0
3,4,4,2,3,2,3,2,1,2,2,2,4,0,0,0,0,0,0,0,799.24142394822,13.0,139.0
0,4,0,0,2,0,3,3,1,0,4,0,1,0,0,4,3,4,4,0,807.7850437034639,11.0,66.68831168831169
0,0,0,0,2,2,3,3,1,0,4,0,4,0,0,4,1,0,0,0,809.495145631068,9.0,5.289772727272728
4,1,0,2,3,2,3,2,1,2,2,2,4,3,0,0,3,4,4,0,797.6611650485437,16.0,1714.3333333333333
3,4,4,2,3,3,2,4,4,3,3,0,1,0,0,0,1,1,0,1,798.0019417475728,15.0,20.64081632653061
4,4,0,0,2,0,3,3,1,0,4,2,4,0,0,4,1,0,0,0,803.649724830042,11.0,17.313588850174217
3,4,4,2,3,2,3,2,1,2,2,2,4,0,0,0,0,0,2,0,799.0828478964402,14.0,146.94285714285715
4,4,0,0,2,0,3,3,1,0,4,0,1,0,0,0,1,1,0,0,803.4512787309809,10.0,10.244769874476988
3,2,4,0,3,2,3,2,1,2,2,2,4,3,0,0,3,4,0,0,797.7679611650485,15.0,1286.5
0,0,0,0,2,2,3,2,1,2,2,2,4,0,0,0,0,0,0,0,803.0708737864078,9.0,5.871446229913474
4,4,0,0,2,0,3,3,1,0,4,0,1,0,0,0,1,1,0,1,801.8841048883133,11.0,10.248953974895397
3,4,4,2,3,2,3,3,1,2,2,2,4,3,4,0,3,4,4,1,795.8987055016181,19.0,5148.0
3,2,4,0,3,2,3,2,1,2,2,2,4,3,4,0,3,4,4,1,795.7805825242718,18.0,2575.0
3,2,4,0,3,2,3,2,1,2,2,2,4,3,0,0,3,4,2,0,797.6100323624595,16.0,2573.0
0,4,0,0,2,0,3,3,1,0,4,0,1,0,0,0,3,4,4,0,806.5509873745549,10.0,40.32283464566929
4,4,0,0,2,0,3,3,1,0,4,0,4,3,0,0,3,4,0,1,799.0265458077048,12.0,109.14893617021276
4,4,0,0,3,3,3,2,1,2,2,2,4,3,4,0,3,4,4,1,795.7129449838187,17.0,1716.3333333333333
4,4,0,0,2,0,3,3,1,0,4,0,4,0,0,4,0,0,2,0,805.4988669472322,10.0,214.54166666666663
4,4,0,0,2,0,3,3,1,0,4,0,4,3,0,0,3,0,0,0,800.746843638718,10.0,96.73584905660375
4,4,0,0,3,3,2,4,4,3,3,0,4,0,0,4,0,0,4,0,801.4938511326861,12.0,205.8
4,2,4,4,1,3,3,3,1,2,2,2,4,3,4,0,3,4,4,1,795.8987055016181,19.0,5148.0
0,0,0,0,2,0,3,3,1,0,4,0,1,0,0,0,2,1,0,0,808.5144059566203,8.0,5.248883928571429
4,4,0,0,2,0,3,3,1,0,4,0,4,0,0,0,3,0,0,0,803.6044027193267,9.0,270.63157894736844
0,0,4,0,3,2,3,2,1,2,2,2,4,3,0,0,3,4,0,0,800.5446601941748,13.0,514.5
4,4,0,0,3,2,3,2,1,2,2,2,4,3,0,0,3,4,0,0,797.7009708737864,14.0,1029.0
4,4,0,0,3,2,3,2,1,2,2,2,4,3,0,0,3,4,0,1,796.0407766990292,15.0,1029.4
4,4,0,0,3,3,2,4,4,3,3,0,4,0,0,0,0,0,0,0,800.7067961165048,10.0,57.57303370786517
0,0,0,0,2,0,3,3,1,0,4,0,4,0,0,0,0,0,0,0,810.4580770475882,6.0,4.907368421052632
4,4,0,0,1,3,3,4,2,3,3,2,4,3,0,0,3,4,4,0,797.5423948220065,15.0,2572.5
